entity_id,legal_name,short_name,country_code,sector,credit_rating,lei,incorporated_date,num_employees,annual_revenue_usd
ENT-000030,Burton Ltd Holdings,Burton Ltd,GB,Real Estate,BBB+,QPGB007R3OCWBFUK9E63,1993-10-07,199437,19081441422
ENT-000031,Carlson-Cruz SA,Carlson-Cruz SA,LU,Real Estate,AA+,,2009-05-21,388029,16160932811
ENT-000032,"Ferrell, Rice and Maddox BV","Ferrell, Rice",SG,Insurance,BBB+,CITF00OYQBKK4CIJ2V35,2016-03-16,78123,21081566649
ENT-000033,Frazier Inc AG,Frazier Inc,JP,Industrials,AAA,FL0U00KEYZ7SRCBPLJ21,2020-08-17,430671,39812346702
ENT-000034,"Dyer, Potter and Mack Partners","Dyer, Potter",US,Utilities,AA+,GSPK009P38QOLDFORX61,1981-08-11,46178,18530810082
ENT-000035,Rodriguez-Graham NV,Rodriguez-Graham NV,NL,Banking,BBB+,153A005QBSWRPBJEK572,1928-06-02,162932,2365935550
ENT-000036,Smith-Bowen AG,Smith-Bowen AG,AT,Private Equity,B+,I4E800XF7KZORQQFGV27,1960-12-26,489825,37743058879
ENT-000037,"Baker, Mason and White Ltd","Baker, Mason",AU,Technology,NR,KKV900RFTMTTQLGZUI62,1968-05-28,202426,47194978764
ENT-000038,Harrell LLC Limited,Harrell LLC,JP,Materials,BB+,BSV5005PSQ0OXFQ8MY93,2020-12-31,450552,28061794165
ENT-000039,"Romero, Gonzalez and Brooks NV","Romero, Gonzalez",NL,Private Equity,BB,5RTW00IYKID91ZDFKB51,1967-04-05,225813,13510219392
ENT-000040,Ryan PLC Holdings,Ryan PLC,BE,Technology,BBB-,YGGV00NYRUIWQY6QKT19,2014-08-24,222470,20144843151
ENT-000041,George Group SA,George Group,IT,Utilities,BBB+,HNRI00UU9K9XJUY0BV73,2008-12-04,420453,14398208876
ENT-000042,Rodriguez LLC SRL,Rodriguez LLC,SG,Telecommunications,BBB,YZX400W6XLPU0DK0GE79,1929-07-11,134736,34120126878
ENT-000043,Allen-Allen GmbH,Allen-Allen GmbH,CA,Real Estate,BB-,ME8F00840982N2ATQY96,2014-07-29,492993,5890534435
ENT-000044,"Arroyo, Miller and Tucker AB","Arroyo, Miller",HK,Technology,B+,W7LV00XWQZXEBB9EIT59,2005-05-21,389172,11710754191
ENT-000045,Spence PLC AB,Spence PLC,NO,Industrials,A-,4W7K00YHQIN9N6XCJ868,2015-02-21,335288,91829577
ENT-000046,Anderson Group NV,Anderson Group,NL,Asset Management,AAA,EUC100HH5LF6A4FEJG94,1964-04-12,414189,16271289563
ENT-000047,"Martin, Rose and Obrien Ltd","Martin, Rose",LU,Healthcare,BB-,GB0S000R2SDS8B25SQ13,1976-06-27,359722,30528563591
ENT-000048,Hickman Ltd BV,Hickman Ltd,IT,Healthcare,BBB+,CVCJ00WTL9TQVDZ4X137,1974-04-02,177707,33618609583
ENT-000049,"Harris, Collins and Carney Capital","Harris, Collins",DK,Technology,B+,DPXN00F7C3DD03UVUL25,1909-03-26,150810,19758710900
ENT-000050,"Brooks, Lam and Hayes Holdings","Brooks, Lam",SE,Banking,A,SFR400MUEKIPU1WYUV94,1949-01-13,368426,20454493126
ENT-000051,Walker LLC BV,Walker LLC,NL,Utilities,AA+,GFXC0008DTNQFLL7V529,2020-12-06,42782,31233543881
ENT-000052,Chapman and Sons Holdings,Chapman and,NO,Technology,AA-,PJ1E00PKYRYBOVAKHE42,1901-05-22,260783,28978304992
ENT-000053,"Robinson, Jones and Welch GmbH","Robinson, Jones",CH,Utilities,B,TIUY00MO0PQCLPOXKO51,1964-12-05,46215,13339680600
ENT-000054,Jones Inc Group,Jones Inc,NO,Real Estate,A+,SOLM00LGSES6M033IF35,2017-08-14,39516,46269130225
ENT-000055,Jones-Young AB,Jones-Young AB,ES,Banking,AA+,UUY500X9L8LPQW2VMC69,1966-03-01,436058,5528053773
ENT-000056,"Washington, Ryan and Cummings GmbH","Washington, Ryan",DE,Banking,BBB+,SQT2006Q3XLRFCD6MZ74,1978-07-19,230393,36610695677
ENT-000057,"Johnston, Sanchez and Kennedy Inc","Johnston, Sanchez",IE,Transportation,BB,NKOM00V2XCDYK0X65M84,1955-09-01,343971,45949721549
ENT-000058,Lee-Davis Capital,Lee-Davis Capital,DK,Hedge Fund,BBB+,ZDUX00LEZ896DYSAL853,1924-09-07,81245,17511390708
ENT-000059,Gomez-Jenkins Group,Gomez-Jenkins Group,FR,Utilities,B,T0SX005WVFGYW6ZBNZ66,1941-12-27,279985,18207190050
ENT-000060,"Brown, Valdez and Lucas Corporation","Brown, Valdez",ES,Technology,B,,1982-11-03,403417,35999967994
ENT-000061,Powell LLC BV,Powell LLC,BE,Materials,B,FHV500BRN7ZSEDFQS321,1962-09-23,487845,25884451379
ENT-000062,Wright and Sons Inc,Wright and,US,Private Equity,A-,NNCI00LDZMFB7R31QW20,1926-10-30,287741,36974958482
ENT-000063,"West, Henderson and Ramirez Group","West, Henderson",NO,Industrials,AA,KKBP002QD6VASIFPWI63,1993-12-06,189070,36619246471
ENT-000064,Baxter Inc BV,Baxter Inc,BE,Materials,B,SA5B00NN0MCIXDU1EM53,1985-11-12,331221,4874254735
ENT-000065,Morton-Chase NV,Morton-Chase NV,IT,Consumer Goods,B,H25L00LO3RBXK5BXJ265,1969-05-18,177762,12772145565
ENT-000066,Williams PLC Ltd,Williams PLC,ES,Consumer Goods,BB,N2JC00PP9GKDLKQZFP67,2010-04-28,228044,44128979254
ENT-000067,Novak and Sons LLC,Novak and,US,Healthcare,AA,WN2Y008FV2BC2NNUVY57,2002-12-24,72201,23748949369
ENT-000068,Russell Group Capital,Russell Group,DK,Insurance,BB+,K8AG00S6E1ZHWY9HEC32,2019-10-31,182160,7342520480
ENT-000069,Hancock Inc AG,Hancock Inc,AT,Insurance,BBB-,64Z700W2SEHE2ATN2T88,1971-06-11,375889,33152392746
ENT-000070,Gray Group BV,Gray Group,BE,Private Equity,A,OUEL00CQSE3TV1ES5376,1929-01-23,169177,22443323986
ENT-000071,House-Glover NV,House-Glover NV,BE,Private Equity,A-,,2013-12-13,288809,9768792805
ENT-000072,Henderson-Bernard BV,Henderson-Bernard BV,CA,Real Estate,AAA,DXVU00GW6M7B5C81JH83,1989-05-13,466100,37053487291
ENT-000073,"Stanley, Tucker and Lee & Partners","Stanley, Tucker",CA,Telecommunications,AA-,KI3O00QYFOQMF5L9MO57,1957-04-05,126750,6298551721
ENT-000074,Novak PLC NV,Novak PLC,AU,Telecommunications,B,FB8500P8637ZGF9Q5R21,1943-03-13,112807,23980380365
ENT-000075,"Daniels, Adkins and Brown Corporation","Daniels, Adkins",US,Utilities,BBB,R5XQ00T4P501NOUHTC74,2011-10-30,356734,6919477621
ENT-000076,"Woods, Calhoun and Schmidt NV","Woods, Calhoun",JP,Technology,BB+,,2000-02-04,492289,13504625478
ENT-000077,Yu Inc & Co,Yu Inc,IE,Consumer Goods,BBB-,SBEL00RQVSLWF90KM378,1985-03-18,427697,21546391675
ENT-000078,Jones Inc BV,Jones Inc,NL,Materials,BBB+,9V2000YAR821UZVGWW58,1905-09-01,300201,13356999562
ENT-000079,"Hensley, Powell and David Limited","Hensley, Powell",GB,Telecommunications,BB,POHS00WQ40ZSU9RN8Q78,2021-04-09,404754,45873554278
ENT-000080,"Sanchez, Wheeler and Harvey NV","Sanchez, Wheeler",AU,Materials,BB,GIUI009KKHZLM72JEY58,1926-04-14,152290,17360643365
ENT-000081,Sandoval-Cunningham AG,Sandoval-Cunningham AG,DE,Industrials,A+,PJRH00T7ZEWVIYTWBO70,1900-12-06,288553,26448255536
ENT-000082,Donovan-Harris & Co,Donovan-Harris &,ES,Asset Management,BBB-,H8LX006DUT076G5G7960,1906-09-22,4868,39936390453
ENT-000083,"Edwards, Baker and Anderson Corporation","Edwards, Baker",IE,Asset Management,BB-,9K9T00R74QGEFQJG0282,1976-09-28,270165,5703501587
ENT-000084,"Evans, Stewart and Walton Holdings","Evans, Stewart",DK,Consumer Goods,AA-,GFLI00JI18K0AXYCEL61,2014-08-09,480326,21219968421
ENT-000085,Smith PLC AB,Smith PLC,SE,Transportation,AA-,HEF000VOTQTXHI15CQ56,1911-01-31,434526,15056052287
ENT-000086,"Ferrell, Jones and Lewis PLC","Ferrell, Jones",LU,Consumer Goods,A-,F4PY00ZR6QCEOUUYLA42,2003-10-08,38298,25964421997
ENT-000087,Anderson-Bailey Group,Anderson-Bailey Group,SE,Industrials,BB,TC6900QKGEX08N6Q7N20,1921-04-15,93581,38624082808
ENT-000088,Suarez LLC AB,Suarez LLC,DK,Hedge Fund,A-,0IAA00KYTT3IMJ70E363,1912-01-28,52908,2551070716
ENT-000089,Moore-Bass Inc,Moore-Bass Inc,IT,Industrials,BBB+,ZB0O00IH5CSK30LVYL48,1974-03-17,157559,1181877110
ENT-000090,"Turner, Riggs and Roman GmbH","Turner, Riggs",AT,Industrials,B+,,1999-09-27,259858,45712794409
ENT-000091,"Smith, Montoya and Evans Holdings","Smith, Montoya",DK,Industrials,AA,LOFN001R4KZ36U8UEI36,1980-09-15,444151,5888833007
ENT-000092,"Garcia, Humphrey and Baker Group","Garcia, Humphrey",AT,Transportation,BBB+,GJYV005G10UR5L8A7825,2008-06-13,368987,26648281044
ENT-000093,Newton and Sons PLC,Newton and,HK,Private Equity,B+,1NTM00JSRD9Q46NOUH28,1952-12-19,79917,22317573787
ENT-000094,Campbell-Clark Ltd,Campbell-Clark Ltd,HK,Telecommunications,AA+,4RXY00J38XRG2GZR7T92,1913-05-04,495560,46463038633
ENT-000095,Harris-Walters Group,Harris-Walters Group,US,Private Equity,AAA,O4IZ00ASNWYWRRATAT45,1990-02-11,426338,45947054856
ENT-000096,Wagner-King AB,Wagner-King AB,NO,Insurance,BB-,6DDF00GS3JONOU9IY493,1968-01-20,197755,32438705682
ENT-000097,Davis Group Group,Davis Group,US,Real Estate,AA+,ZC4X00L9967I6YUJ7Y45,1932-03-08,486951,25127495204
ENT-000098,Williams-Cook Holdings,Williams-Cook Holdings,GB,Asset Management,BB-,,1913-10-22,156917,39352524162
ENT-000099,Walsh LLC PLC,Walsh LLC,HK,Industrials,BBB,4YTN0002YC0MDICVWV51,1980-11-04,257227,22454783404
ENT-000100,Figueroa PLC Group,Figueroa PLC,AT,Asset Management,BB-,,1915-05-19,404848,19836904218
ENT-000101,"Patterson, Smith and Jones Limited","Patterson, Smith",HK,Technology,AA,CFZW000LDALMJEGQTO13,2007-02-09,313557,24844075141
ENT-000102,"Mckee, Gardner and Davenport Holdings","Mckee, Gardner",DK,Hedge Fund,NR,O20U009ISYGJJFGJK256,2006-07-19,323322,30904744288
ENT-000103,"Tran, Jordan and Williams Group","Tran, Jordan",FR,Consumer Goods,NR,AO4N005PP3XVKVZRGO50,2003-05-01,409989,22516140910
ENT-000104,Nolan-Flynn Capital,Nolan-Flynn Capital,DK,Asset Management,BBB-,2N7H009G1A07H23C4296,1943-06-06,132487,11418970514
ENT-000105,Nolan and Sons Group,Nolan and,NO,Industrials,AA+,C9RO00S7YT2M6TWD1X55,2001-01-22,338192,45859492599
ENT-000106,"Wright, Garcia and Deleon Holdings","Wright, Garcia",DK,Utilities,B+,,1919-01-05,5540,17603481123
ENT-000107,Dickson-Brady SAS,Dickson-Brady SAS,HK,Healthcare,A-,SUUQ00O1VSMADO8E7F49,1993-07-03,253202,31560809449
ENT-000108,Hancock and Sons SAS,Hancock and,FR,Asset Management,B+,ZLK300E4XYF9IGFU8I61,1970-12-24,15315,41821864576
ENT-000109,Johnson-Doyle Capital,Johnson-Doyle Capital,SG,Energy,AA-,PAHK00Z2U2TNHEYR8L59,1962-06-06,184551,33696342393
ENT-000110,Patton-Jenkins Corp,Patton-Jenkins Corp,IE,Telecommunications,A,Y27V00YLIENFNVUPRT92,1987-11-10,151442,9192603638
ENT-000111,"Shields, Cochran and Adams Group","Shields, Cochran",NL,Hedge Fund,BBB-,W58R00HNUXORZPGU2H14,1930-03-08,409342,40618986073
ENT-000112,"Rodriguez, Brennan and Garrison Limited","Rodriguez, Brennan",ES,Healthcare,AA-,EE1300N3BZT9D31K9Q54,1942-07-08,110046,49769854146
ENT-000113,Gonzalez Group Capital,Gonzalez Group,SE,Asset Management,A+,,1937-01-28,426533,38909745619
ENT-000114,Torres-Pope Group,Torres-Pope Group,SE,Asset Management,BB+,VG9K00U8S63E1OCJXZ26,1944-06-02,399241,46572816904
ENT-000115,Walker Ltd Holdings,Walker Ltd,DK,Materials,AA,UJOQ00W5DSK7N8LA1068,1995-11-23,208527,30974766187
ENT-000116,Ross LLC Inc,Ross LLC,AU,Transportation,BBB-,KTE400261BW4A7FQ9P98,1928-07-11,458459,5471971934
ENT-000117,Rasmussen LLC Capital,Rasmussen LLC,SE,Consumer Goods,A+,N6FO00KZIXZAREIYAZ25,1985-09-18,37144,26753223080
ENT-000118,May-Ross Holdings,May-Ross Holdings,DE,Industrials,B,DL5E0011E9FTAXP0WF62,1938-12-25,45459,8145904681
ENT-000119,"Rivera, Johnson and Wiley Corporation","Rivera, Johnson",JP,Consumer Goods,BB-,VN8L00FJDTVV2Y4XKS75,1953-01-11,338789,16985284801
ENT-000120,White-Estes GmbH,White-Estes GmbH,ES,Hedge Fund,AA+,IWC500AMLN4PTGQ9CV11,1910-11-07,497391,29159878500
ENT-000121,Johnson-Carlson NV,Johnson-Carlson NV,BE,Private Equity,B+,Z1PO00XTFDC79FLV1X92,1942-10-27,30369,5345099866
ENT-000122,Chandler-Edwards AB,Chandler-Edwards AB,NO,Technology,B+,WBXX00GAEARMS3JN0525,1948-10-20,274660,17454297288
ENT-000123,"Joyce, Wilson and Lam Corp","Joyce, Wilson",LU,Transportation,AA+,RSB400GF16YE0A4ABN29,1999-03-15,421073,46130908467
ENT-000124,Scott Ltd Capital,Scott Ltd,NO,Banking,BB,I6L300UEYBISBO551L21,1936-01-04,152889,48550020777
ENT-000125,Smith-Frost SA,Smith-Frost SA,IE,Insurance,A-,N891000T2F7ATWYAM158,1995-01-24,124878,31867966369
ENT-000126,"Mcdaniel, Bentley and Mclaughlin Corp","Mcdaniel, Bentley",US,Consumer Goods,BBB,,1916-09-10,23026,16841845329
ENT-000127,Diaz Inc Group,Diaz Inc,BE,Healthcare,BBB,6Q0U00SWOVCXEK47O351,1941-12-01,39167,16937538428
ENT-000128,"Mccall, Hanson and Alvarado Inc","Mccall, Hanson",JP,Insurance,BBB+,VFFQ00OT8HLJEFY3ZB51,1963-10-31,207756,2205392512
ENT-000129,Cortez LLC Limited,Cortez LLC,CA,Real Estate,BBB,9BOQ000IQ2FA39E3NW92,1913-06-16,11439,8577843010
ENT-000130,"Parker, Ortiz and Powell AB","Parker, Ortiz",SG,Utilities,A+,,1916-07-03,474531,24949080581
ENT-000131,Spencer-Lee Capital,Spencer-Lee Capital,FR,Banking,AA,QGU300OBYGHGK5BWIK62,1950-03-15,200820,26359327982
ENT-000132,"Bentley, Byrd and Orr Ltd","Bentley, Byrd",SG,Utilities,NR,2I9T00ANZR2MULJAVB45,1994-12-30,187407,41948367704
ENT-000133,"Carroll, Sullivan and Bass LLC","Carroll, Sullivan",HK,Hedge Fund,BBB+,,1947-10-29,279817,39597171238
ENT-000134,Mitchell-Jordan Group,Mitchell-Jordan Group,DK,Healthcare,AA+,44GV003Z6BZ8UUG95R49,1916-03-13,29458,39653915367
ENT-000135,"Lawson, Morris and Ramos NV","Lawson, Morris",HK,Real Estate,AA-,RLW300MG25CFZFDSNC94,1960-05-22,158221,9975604819
ENT-000136,"Lewis, Kennedy and Santana Holdings","Lewis, Kennedy",CH,Energy,AA+,PXRL00ZU6WMX3N0KGA99,1932-09-02,315835,15510863950
ENT-000137,"Jackson, Miller and Robertson Ltd","Jackson, Miller",LU,Energy,B,RLCM00LW83Y0MAHYM210,1975-04-20,87219,29569025689
ENT-000138,"Harvey, Davis and Crane SRL","Harvey, Davis",ES,Telecommunications,BB-,,1918-03-15,434543,42365875260
ENT-000139,Chambers and Sons Corp,Chambers and,HK,Real Estate,B+,C4KL008CGN0T6DVWRB93,1928-03-10,28088,21909835465
ENT-000140,Hernandez Inc BV,Hernandez Inc,SG,Consumer Goods,BBB,,2018-07-13,147609,14162327955
ENT-000141,Riggs PLC Group,Riggs PLC,FR,Insurance,BB-,U4FM00PKXVHAGKC4LO72,1933-03-05,194531,29573065929
ENT-000142,Gibson Ltd Capital,Gibson Ltd,SE,Real Estate,BBB+,BPJ400UFZDY3O1ICNS78,1985-06-16,156694,26109013141
ENT-000143,"Lee, Horton and Snyder LLC","Lee, Horton",US,Technology,AA,62YW00E1G983EP9P9W86,1915-08-14,203485,28159469827
ENT-000144,Hernandez Ltd & Co,Hernandez Ltd,AT,Transportation,B+,JQ5200WSPOFV177UDK78,1947-05-25,200835,32877162717
ENT-000145,Stafford Inc LLC,Stafford Inc,LU,Materials,BBB+,BJFV00YB6LI076A3KK72,1924-02-12,157548,25021820679
ENT-000146,Robinson-Brock Corporation,Robinson-Brock Corporation,AU,Transportation,A-,VDP600ORSNC2CZO2SU32,1910-05-05,130814,30206910116
ENT-000147,"Holmes, Williams and Wright Capital","Holmes, Williams",US,Hedge Fund,BBB,,1966-02-04,431764,36353641473
ENT-000148,Bryant Group Group,Bryant Group,DK,Industrials,BBB+,EBNV00G5VMF60YKNFU37,2021-08-07,108396,44105478123
ENT-000149,"Schmidt, Hansen and Stewart Capital","Schmidt, Hansen",NO,Private Equity,BB-,58YR00EG2IV7ZZJ64Q37,2004-11-15,53651,34391395960
ENT-000150,Salazar-Ball Capital,Salazar-Ball Capital,SE,Industrials,BB+,VKYR00MJLJX8XGSIC486,2022-02-24,73373,3097987746
ENT-000151,"Simmons, Meadows and Griffin GmbH","Simmons, Meadows",ES,Transportation,B+,,1972-08-06,203577,3164340280
ENT-000152,Manning Group Corp,Manning Group,LU,Industrials,BB+,UG0I00T26YS445GDEJ81,2017-06-05,46828,22429508039
ENT-000153,Green-Wright Inc,Green-Wright Inc,HK,Asset Management,A-,L2LJ00K4Q5V7C6S5NK16,1961-06-27,214544,42894761307
ENT-000154,"Ramirez, Strickland and Washington NV","Ramirez, Strickland",IT,Energy,NR,5GCL009LCQH1UF22EP64,1968-10-12,2457,34521867365
ENT-000155,Hill Inc & Partners,Hill Inc,SG,Real Estate,BB+,861T00AA0I5LDSLCB868,1977-10-24,465564,22049557723
ENT-000156,"Mitchell, Nelson and Flores Capital","Mitchell, Nelson",ES,Banking,AA-,G87O00I0E0VGNXB5JT16,2017-04-09,438377,84890270
ENT-000157,"Miller, Hernandez and Reyes SA","Miller, Hernandez",FR,Healthcare,A-,NTRF00ZWKXXJVE3DZE24,2009-04-10,104736,20521277281
ENT-000158,Mccarthy Inc Group,Mccarthy Inc,BE,Consumer Goods,B+,,1952-12-30,84091,34529084600
ENT-000159,Russell-Daniels & Co,Russell-Daniels &,ES,Technology,BBB+,,1900-06-29,6694,7179709662
ENT-000160,Brown-Wall Capital,Brown-Wall Capital,FR,Consumer Goods,AA-,YFDS000DJI9KQDGBK250,1917-01-17,446308,197192148
ENT-000161,Stein-Silva Inc,Stein-Silva Inc,JP,Consumer Goods,AA+,GMPW005D3GO8JN42X224,1928-08-08,54385,32602124311
ENT-000162,"Smith, Gilmore and Johnston Holdings","Smith, Gilmore",LU,Hedge Fund,BB+,GNMB00Y49E7EOBJLZY83,1993-02-21,274266,6950383660
ENT-000163,Smith-Bell AB,Smith-Bell AB,NO,Telecommunications,BBB+,IMYN004U9BXF445CRI45,1998-10-11,337293,27396139866
ENT-000164,Castaneda-Ashley Corporation,Castaneda-Ashley Corporation,HK,Industrials,B,PUDR00L90AOBT328W681,1961-02-28,190506,3544783724
ENT-000165,Medina-Navarro Inc,Medina-Navarro Inc,HK,Materials,B+,L1VZ00NQDXAMW2TND673,1919-03-12,133330,15508590267
ENT-000166,"Hurst, Freeman and Nelson Group","Hurst, Freeman",SG,Transportation,B+,4H3G00M1BWYE6QVS8A16,2004-12-27,253205,38329981044
ENT-000167,Johnson-Rogers Holdings,Johnson-Rogers Holdings,CH,Private Equity,BB+,G3DX00VL5PVYIOMK2E87,1999-05-01,331665,13818481066
ENT-000168,"Yates, Ramsey and Pittman SA","Yates, Ramsey",SG,Transportation,B+,KMY900X8SYLEMRUYP078,1902-04-17,274071,457387198
ENT-000169,Hooper PLC Capital,Hooper PLC,DK,Hedge Fund,BBB-,YH1F00KJ4YK1B3D50592,2019-03-26,24640,29749125741
ENT-000170,Meadows PLC Holdings,Meadows PLC,DK,Healthcare,A,2Y8B000H54PIWZNV0H34,2022-06-28,39053,47991184647
ENT-000171,"Alvarado, Miller and Patterson Group","Alvarado, Miller",BE,Insurance,BB+,BKJF004AQ7B7V1W4K280,1994-04-10,115333,12700265559
ENT-000172,White-Green BV,White-Green BV,BE,Transportation,BBB+,SOTD00HHLMH1T939AY67,1907-02-27,357863,25278817902
ENT-000173,Lewis-Murphy AB,Lewis-Murphy AB,DK,Energy,BBB,,1996-12-07,379581,1214841296
ENT-000174,Ramirez-Bean NV,Ramirez-Bean NV,BE,Hedge Fund,B+,N2QB006GS8G8TACY1564,2016-01-06,428224,8331267606
ENT-000175,King-Miller Holdings,King-Miller Holdings,JP,Banking,AA,ZBCG00JC36OQOLOEAZ18,1964-03-08,486574,6454735568
ENT-000176,Curry Inc SRL,Curry Inc,CA,Banking,A+,KD1P00OXRTEO2T8FY692,1922-02-11,21911,38676408655
ENT-000177,Walker-Jones AB,Walker-Jones AB,IE,Industrials,AA,TDH0000H64FGWJEYUB80,1952-02-26,352166,17469290020
ENT-000178,"Williams, Johnson and Wright SA","Williams, Johnson",FR,Technology,BBB+,U8MY00IKCGRLXYFU3831,1939-10-01,373407,46127259422
ENT-000179,Howell and Sons AB,Howell and,NO,Materials,AAA,MYLR00Q1RDXCK36H0W19,2004-05-29,303520,15419188564
ENT-000180,Wells Inc Capital,Wells Inc,US,Asset Management,A+,T9Q100NI10KQSOSX4388,1980-01-25,83488,39424228363
ENT-000181,"Gould, Marshall and Scott LLC","Gould, Marshall",LU,Consumer Goods,BBB,80RM00HRCNBH6NQQB951,1947-04-01,303379,40992771363
ENT-000182,Jackson-Lawson & Co,Jackson-Lawson &,CH,Hedge Fund,A+,NV6C00J9IO3M25A5PI75,1933-07-16,82510,40210541366
ENT-000183,"Higgins, Strickland and Martin Capital","Higgins, Strickland",FR,Real Estate,AAA,OLEY00RVXOIEVES6FF33,2018-09-27,430609,13253288921
ENT-000184,Rodriguez-Johnson Corporation,Rodriguez-Johnson Corporation,IT,Telecommunications,B+,QRHO00FU1WSGY7VCNE12,1926-11-02,317472,9003633833
ENT-000185,Johnston-Odonnell Capital,Johnston-Odonnell Capital,ES,Banking,AA-,,1916-09-21,252843,11422104301
ENT-000186,Sanders-Espinoza Inc,Sanders-Espinoza Inc,IE,Private Equity,NR,A7YP00P5ZP7R1M264U64,1941-09-20,477156,7984672920
ENT-000187,Vargas Ltd SRL,Vargas Ltd,CA,Real Estate,BBB,TJA000ASSNH2ODPVJT82,2022-02-14,208390,16127581530
ENT-000188,Garcia LLC AB,Garcia LLC,NO,Asset Management,BB-,UGUR009U1OE5EI28DS53,2014-02-04,2783,7749807414
