entity_id,counterparty_id
ENT-037148,CP-014647
ENT-055927,CP-068786
ENT-075856,CP-012226
ENT-040878,CP-017977
ENT-089392,CP-002753
ENT-033422,CP-020912
ENT-051170,CP-002507
ENT-067095,CP-067930
ENT-029677,CP-042188
ENT-007925,CP-068839
ENT-065588,CP-066636
ENT-005306,CP-068588
ENT-079635,CP-008483
ENT-003418,CP-044626
ENT-064903,CP-051448
ENT-086942,CP-026512
ENT-093862,CP-057484
ENT-094456,CP-064229
ENT-055264,CP-023587
ENT-089750,CP-067599
ENT-086582,CP-037953
ENT-085203,CP-035850
ENT-035305,CP-057873
ENT-068487,CP-057206
ENT-025782,CP-063143
ENT-078175,CP-009659
ENT-023651,CP-039881
ENT-084653,CP-015998
ENT-058163,CP-026705
ENT-008536,CP-033189
ENT-032065,CP-011087
ENT-027675,CP-002918
ENT-076232,CP-007417
ENT-070692,CP-020712
ENT-084501,CP-014432
ENT-015048,CP-057811
ENT-065327,CP-001114
ENT-019107,CP-022399
ENT-062917,CP-018870
ENT-035286,CP-027025
ENT-082725,CP-039161
ENT-072612,CP-048289
ENT-091659,CP-031093
ENT-058861,CP-068549
ENT-008543,CP-040523
ENT-027766,CP-050526
ENT-048077,CP-007673
ENT-007140,CP-024307
ENT-033961,CP-068302
ENT-048604,CP-041869
ENT-049140,CP-021639
ENT-040786,CP-035191
ENT-077414,CP-040881
ENT-082429,CP-064709
ENT-075585,CP-039276
ENT-069824,CP-013178
ENT-003544,CP-066187
ENT-031220,CP-031241
ENT-090406,CP-040303
ENT-052214,CP-031561
ENT-048697,CP-033718
ENT-031322,CP-037309
ENT-000622,CP-042362
ENT-017761,CP-069806
ENT-015675,CP-051412
ENT-099858,CP-003760
ENT-063945,CP-010315
ENT-059979,CP-058750
ENT-094178,CP-028356
ENT-001327,CP-048881
ENT-054276,CP-018286
ENT-059373,CP-011949
ENT-040711,CP-061501
ENT-046813,CP-060596
ENT-010756,CP-059520
ENT-089713,CP-023728
ENT-070287,CP-039720
ENT-089996,CP-007557
ENT-065411,CP-023844
ENT-083848,CP-040339
ENT-004912,CP-037071
ENT-032099,CP-055827
ENT-002371,CP-014490
ENT-040329,CP-028014
ENT-071608,CP-009991
ENT-093621,CP-024228
ENT-070823,CP-022952
ENT-072774,CP-045338
ENT-073621,CP-023342
ENT-084935,CP-011202
ENT-004760,CP-004144
ENT-037832,CP-063994
ENT-054957,CP-042017
ENT-087515,CP-038101
ENT-053353,CP-005965
ENT-058001,CP-063362
ENT-052590,CP-069665
ENT-058619,CP-066444
ENT-043343,CP-069549
ENT-038107,CP-013076
ENT-010355,CP-001684
ENT-028215,CP-021806
ENT-036497,CP-060480
ENT-085336,CP-016030
ENT-093029,CP-032468
ENT-086506,CP-045135
ENT-095113,CP-027509
ENT-077921,CP-053768
ENT-036602,CP-011546
ENT-075973,CP-008315
ENT-013256,CP-041428
ENT-021274,CP-042576
ENT-035077,CP-010199
ENT-058362,CP-018917
ENT-032936,CP-007191
ENT-024949,CP-057062
ENT-061698,CP-060219
ENT-096213,CP-038320
ENT-016643,CP-060386
ENT-061931,CP-023683
ENT-008670,CP-066112
ENT-011643,CP-061166
ENT-060192,CP-036459
ENT-081080,CP-065841
ENT-092081,CP-058325
ENT-078572,CP-032907
ENT-061635,CP-046876
ENT-082771,CP-028806
ENT-096243,CP-048113
ENT-078218,CP-047518
ENT-075598,CP-022874
ENT-060670,CP-059402
ENT-069957,CP-059712
ENT-074905,CP-030686
ENT-083517,CP-052829
ENT-077449,CP-061455
ENT-000897,CP-046020
ENT-019669,CP-028500
ENT-016523,CP-054674
ENT-038704,CP-019190
ENT-018210,CP-032603
ENT-000261,CP-017265
ENT-068189,CP-044562
ENT-089006,CP-021452
ENT-059204,CP-019126
ENT-086819,CP-066388
ENT-090504,CP-050973
ENT-015748,CP-004130
ENT-003081,CP-006286
ENT-092374,CP-049839
ENT-090709,CP-041534
ENT-076418,CP-055039
ENT-045836,CP-047181
ENT-027802,CP-013137
ENT-016227,CP-069143
ENT-001827,CP-031382
ENT-040705,CP-066027
ENT-023745,CP-066228
ENT-045765,CP-069935
ENT-001824,CP-007958
ENT-097349,CP-069642
ENT-082661,CP-054186
ENT-004565,CP-035180
ENT-080015,CP-013695
ENT-010911,CP-004029
ENT-096251,CP-015639
ENT-065971,CP-049715
ENT-030001,CP-064109
ENT-071892,CP-065787
ENT-001964,CP-011392
ENT-074661,CP-067053
ENT-073415,CP-051109
ENT-014332,CP-069108
ENT-088475,CP-037011
ENT-053970,CP-026085
ENT-017328,CP-009465
ENT-011853,CP-045744
ENT-041123,CP-003321
ENT-041232,CP-030795
ENT-099162,CP-006994
ENT-027966,CP-064565
ENT-098460,CP-049749
ENT-019198,CP-069859
ENT-036620,CP-029365
ENT-067105,CP-004859
ENT-082065,CP-051185
ENT-087339,CP-020405
ENT-011594,CP-029195
ENT-023734,CP-064389
ENT-010370,CP-033315
ENT-011764,CP-054071
ENT-082980,CP-000204
ENT-085825,CP-005889
ENT-007732,CP-023033
ENT-063131,CP-024927
ENT-055989,CP-051257
ENT-023324,CP-031634
ENT-018057,CP-050089
ENT-077566,CP-023116
ENT-082793,CP-018572
ENT-062082,CP-002365
ENT-056066,CP-017483
ENT-027673,CP-034783
ENT-022244,CP-011558
ENT-086752,CP-044569
ENT-076731,CP-069333
ENT-042442,CP-031792
ENT-096702,CP-039740
ENT-018766,CP-036232
ENT-064878,CP-057485
ENT-034159,CP-024323
ENT-013254,CP-012031
ENT-082965,CP-001489
ENT-001856,CP-049295
ENT-073456,CP-048740
ENT-022447,CP-039143
ENT-000262,CP-052311
ENT-036544,CP-054435
ENT-056583,CP-050073
ENT-010087,CP-035833
ENT-030141,CP-057903
ENT-010396,CP-053022
ENT-026569,CP-044615
ENT-095807,CP-068615
ENT-052718,CP-064469
ENT-035928,CP-025333
ENT-029252,CP-013090
ENT-092086,CP-044602
ENT-001426,CP-018620
ENT-057264,CP-014500
ENT-045092,CP-051426
ENT-021801,CP-009881
ENT-099827,CP-061978
ENT-062830,CP-001828
ENT-000340,CP-044607
ENT-007883,CP-039908
ENT-045486,CP-011024
ENT-052340,CP-012299
ENT-010249,CP-046331
ENT-003521,CP-049902
ENT-002970,CP-024247
ENT-047565,CP-063080
ENT-028794,CP-003078
ENT-001137,CP-059581
ENT-053941,CP-012521
ENT-099358,CP-039535
ENT-049508,CP-031169
ENT-038946,CP-025126
ENT-060768,CP-035566
ENT-078136,CP-010183
ENT-047845,CP-025381
ENT-032037,CP-024273
ENT-069380,CP-048976
ENT-015534,CP-048427
ENT-036346,CP-062076
ENT-034506,CP-057497
ENT-080378,CP-001173
ENT-073173,CP-008019
ENT-041959,CP-054036
ENT-084739,CP-022604
ENT-015127,CP-004746
ENT-046680,CP-015845
ENT-067359,CP-004298
ENT-005775,CP-069732
ENT-046788,CP-027324
ENT-058402,CP-066099
ENT-011973,CP-032988
ENT-008905,CP-031549
ENT-056188,CP-013190
ENT-049517,CP-019816
ENT-018340,CP-013956
ENT-030374,CP-040038
ENT-047873,CP-024482
ENT-003630,CP-061607
ENT-099894,CP-041366
ENT-075600,CP-007100
ENT-040127,CP-018852
ENT-004427,CP-013492
ENT-010665,CP-032608
ENT-091520,CP-039612
ENT-038642,CP-054020
ENT-066745,CP-029090
ENT-012432,CP-010211
ENT-008382,CP-015454
ENT-076734,CP-001686
ENT-094934,CP-012503
ENT-095579,CP-064166
ENT-000375,CP-014029
ENT-048978,CP-039137
ENT-002943,CP-016185
ENT-068692,CP-018238
ENT-037951,CP-056168
ENT-052363,CP-024033
ENT-004258,CP-060895
ENT-025412,CP-035385
ENT-056269,CP-051350
ENT-016451,CP-052555
ENT-092121,CP-018219
ENT-045986,CP-060752
ENT-059283,CP-053653
ENT-045820,CP-031897
ENT-094042,CP-022526
ENT-080294,CP-054151
ENT-007336,CP-027829
ENT-007109,CP-052160
ENT-068675,CP-036363
ENT-080252,CP-038162
ENT-081933,CP-005176
ENT-067985,CP-018710
ENT-068773,CP-058230
ENT-012278,CP-030317
ENT-091799,CP-044779
ENT-023338,CP-020158
ENT-013575,CP-057410
ENT-008775,CP-019694
ENT-043569,CP-069258
ENT-072882,CP-041363
ENT-085714,CP-068203
ENT-084758,CP-047744
ENT-090418,CP-061722
ENT-026125,CP-048956
ENT-002831,CP-031708
ENT-001577,CP-034317
ENT-025847,CP-037234
ENT-081321,CP-024850
ENT-050850,CP-043632
ENT-076956,CP-032613
ENT-099397,CP-037701
ENT-093300,CP-005614
ENT-091584,CP-013784
ENT-025677,CP-030480
ENT-099614,CP-026431
ENT-060349,CP-045797
ENT-099457,CP-009856
ENT-061841,CP-042753
ENT-054641,CP-023274
ENT-039584,CP-065035
ENT-084527,CP-042680
ENT-037746,CP-031101
ENT-005871,CP-011908
ENT-042050,CP-024647
ENT-046090,CP-045332
ENT-016268,CP-040474
ENT-008184,CP-030552
ENT-062325,CP-023706
ENT-026352,CP-016385
ENT-016125,CP-062621
ENT-019483,CP-000939
ENT-073108,CP-006694
ENT-033383,CP-037741
ENT-033810,CP-012913
ENT-083635,CP-023372
ENT-034086,CP-022435
ENT-096592,CP-016399
ENT-039094,CP-012154
ENT-007388,CP-025432
ENT-003382,CP-019855
ENT-028974,CP-066784
ENT-011297,CP-060598
ENT-095167,CP-057184
ENT-091534,CP-062552
ENT-025579,CP-039684
ENT-006676,CP-036977
ENT-025271,CP-040666
ENT-019106,CP-021321
ENT-087650,CP-001497
ENT-037667,CP-001425
ENT-043387,CP-024536
ENT-028441,CP-025318
ENT-004072,CP-040601
ENT-070110,CP-051255
ENT-031211,CP-038406
ENT-094351,CP-024957
ENT-030340,CP-061237
ENT-052948,CP-065684
ENT-024156,CP-007428
ENT-072329,CP-062751
ENT-024414,CP-048016
ENT-046593,CP-016564
ENT-020977,CP-011008
ENT-070542,CP-068528
ENT-017487,CP-030892
ENT-018220,CP-064846
ENT-090046,CP-016613
ENT-092789,CP-022917
ENT-045992,CP-049071
ENT-063861,CP-009083
ENT-099695,CP-030649
ENT-011204,CP-002452
ENT-085781,CP-022887
ENT-081145,CP-065421
ENT-087888,CP-045438
ENT-006088,CP-025772
ENT-038201,CP-011470
ENT-034865,CP-006617
ENT-046116,CP-028133
ENT-086648,CP-012611
ENT-028820,CP-043307
ENT-026887,CP-048805
ENT-042329,CP-029858
ENT-080014,CP-045222
ENT-064284,CP-048086
ENT-065844,CP-043491
ENT-088412,CP-012142
ENT-054104,CP-042300
ENT-016905,CP-025089
ENT-080384,CP-048402
ENT-008287,CP-017350
ENT-043380,CP-044221
ENT-037014,CP-053171
ENT-030718,CP-044975
ENT-094153,CP-002537
ENT-088593,CP-064526
ENT-053411,CP-067570
ENT-072407,CP-017228
ENT-001073,CP-010074
ENT-021915,CP-038894
ENT-002139,CP-039074
ENT-046980,CP-006253
ENT-034816,CP-016397
ENT-022664,CP-014892
ENT-039993,CP-004247
ENT-006279,CP-013888
ENT-010997,CP-011644
ENT-011968,CP-060254
ENT-057592,CP-067215
ENT-081388,CP-062819
ENT-012261,CP-024784
ENT-054065,CP-049621
ENT-061759,CP-064254
ENT-057066,CP-040453
ENT-096894,CP-027860
ENT-054663,CP-004399
ENT-099149,CP-033431
ENT-076290,CP-043461
ENT-052013,CP-004648
ENT-097199,CP-033629
ENT-058837,CP-059439
ENT-070231,CP-011244
ENT-044464,CP-063389
ENT-052337,CP-055344
ENT-095220,CP-069869
ENT-010960,CP-046664
ENT-079518,CP-053034
ENT-063495,CP-017514
ENT-084272,CP-058849
ENT-038567,CP-005728
ENT-033328,CP-014802
ENT-056249,CP-050860
ENT-040204,CP-011948
ENT-040845,CP-063902
ENT-093045,CP-031517
ENT-045622,CP-034677
ENT-099798,CP-034258
ENT-026239,CP-066611
ENT-012407,CP-069698
ENT-020470,CP-005488
ENT-004042,CP-049644
ENT-037941,CP-014302
ENT-019728,CP-029797
ENT-018503,CP-037732
ENT-078162,CP-066102
ENT-044122,CP-033009
ENT-022252,CP-039053
ENT-024490,CP-057055
ENT-066511,CP-021955
ENT-041131,CP-034842
ENT-085127,CP-052129
ENT-055641,CP-005880
ENT-034575,CP-013238
ENT-014679,CP-005575
ENT-072749,CP-050955
ENT-072984,CP-042375
ENT-091703,CP-005525
ENT-003690,CP-047125
ENT-030804,CP-009211
ENT-091817,CP-047983
ENT-040854,CP-047819
ENT-090715,CP-024991
ENT-001293,CP-027846
ENT-057756,CP-014100
ENT-016075,CP-060802
ENT-000078,CP-011591
ENT-064510,CP-022613
ENT-078800,CP-067159
ENT-068825,CP-014635
ENT-022662,CP-028556
ENT-034491,CP-038993
ENT-060509,CP-041543
ENT-048427,CP-005865
ENT-047423,CP-025647
ENT-045039,CP-056038
ENT-009706,CP-067728
ENT-043419,CP-033662
ENT-011045,CP-040210
ENT-051632,CP-037743
ENT-022722,CP-002162
ENT-043868,CP-015690
ENT-004341,CP-033766
ENT-062719,CP-020378
ENT-034251,CP-055010
ENT-015598,CP-048950
ENT-083581,CP-046513
ENT-057541,CP-021635
ENT-080315,CP-056722
ENT-063293,CP-036159
ENT-052844,CP-025155
ENT-083528,CP-035008
ENT-055953,CP-032105
ENT-065021,CP-054743
ENT-023782,CP-049499
ENT-052776,CP-025017
ENT-064225,CP-011571
ENT-038327,CP-021676
ENT-084966,CP-042285
ENT-065745,CP-053491
ENT-092372,CP-037847
ENT-078696,CP-003619
ENT-057274,CP-059386
ENT-070957,CP-032814
ENT-057258,CP-024259
ENT-082278,CP-023533
ENT-079962,CP-022099
ENT-099329,CP-056271
ENT-091511,CP-030257
ENT-015151,CP-001341
ENT-070979,CP-019296
ENT-089980,CP-000991
ENT-046329,CP-057967
ENT-023053,CP-012673
ENT-092410,CP-017222
ENT-040303,CP-016565
ENT-014561,CP-000745
ENT-066500,CP-059605
ENT-034642,CP-052489
ENT-006123,CP-043833
ENT-036228,CP-046847
ENT-038018,CP-042491
ENT-036759,CP-025894
ENT-012280,CP-006641
ENT-065767,CP-037178
ENT-091143,CP-050896
ENT-032078,CP-011241
ENT-072717,CP-064510
ENT-055236,CP-010534
ENT-087654,CP-062206
ENT-043035,CP-025691
ENT-052863,CP-040759
ENT-093991,CP-027732
ENT-074800,CP-031259
ENT-077421,CP-009892
ENT-077255,CP-069388
ENT-086179,CP-058367
ENT-016273,CP-010104
ENT-044275,CP-063127
ENT-009637,CP-069584
ENT-036846,CP-062459
ENT-063893,CP-034946
ENT-099739,CP-052505
ENT-098543,CP-060243
ENT-084275,CP-007389
ENT-005951,CP-007063
ENT-023641,CP-008748
ENT-077652,CP-061297
ENT-034272,CP-035711
ENT-002628,CP-061460
ENT-025414,CP-012761
ENT-052970,CP-048609
ENT-004141,CP-063107
ENT-062324,CP-031105
ENT-050981,CP-066811
ENT-007039,CP-043372
ENT-029833,CP-051990
ENT-053145,CP-065592
ENT-021680,CP-042460
ENT-047302,CP-047348
ENT-076677,CP-007277
ENT-038324,CP-026993
ENT-089075,CP-028403
ENT-004328,CP-023420
ENT-030792,CP-021564
ENT-079416,CP-069124
ENT-039021,CP-034469
ENT-019118,CP-038752
ENT-039406,CP-047384
ENT-016261,CP-066975
ENT-008371,CP-025189
ENT-048190,CP-014857
ENT-093320,CP-032695
ENT-081486,CP-014942
ENT-037975,CP-011879
ENT-063392,CP-053525
ENT-089954,CP-034298
ENT-066720,CP-004190
ENT-037160,CP-067916
ENT-021593,CP-051726
ENT-036957,CP-014410
ENT-058544,CP-048403
ENT-075490,CP-029322
ENT-037144,CP-033042
ENT-055286,CP-038080
ENT-038588,CP-040307
ENT-026979,CP-037634
ENT-023003,CP-057810
ENT-006893,CP-063891
ENT-018894,CP-000858
ENT-072367,CP-057608
ENT-048814,CP-012363
ENT-077748,CP-055676
ENT-003799,CP-022343
ENT-065839,CP-050835
ENT-037930,CP-016247
ENT-022637,CP-009075
ENT-010362,CP-005785
ENT-087321,CP-018775
ENT-079445,CP-068875
ENT-066378,CP-037749
ENT-083266,CP-061968
ENT-054337,CP-061814
ENT-013404,CP-058051
ENT-063572,CP-065108
ENT-003859,CP-023312
ENT-019443,CP-036572
ENT-004165,CP-059304
ENT-084526,CP-035948
ENT-006744,CP-054170
ENT-098697,CP-067870
ENT-023130,CP-044860
ENT-067910,CP-065852
ENT-074175,CP-009029
ENT-085333,CP-019859
ENT-019710,CP-048482
ENT-091396,CP-012323
ENT-044925,CP-035564
ENT-080201,CP-038190
ENT-004118,CP-027826
ENT-079612,CP-063477
ENT-048458,CP-009698
ENT-086559,CP-018269
ENT-088900,CP-028497
ENT-016891,CP-008876
ENT-052501,CP-039822
ENT-057809,CP-000822
ENT-087896,CP-007624
ENT-062272,CP-059528
ENT-011801,CP-006336
ENT-026528,CP-039383
ENT-064409,CP-068574
ENT-089870,CP-031037
ENT-080824,CP-039938
ENT-037764,CP-013346
ENT-084944,CP-056840
ENT-000789,CP-047587
ENT-045530,CP-049842
ENT-022513,CP-035919
ENT-041109,CP-010625
ENT-002147,CP-063687
ENT-045034,CP-068395
ENT-005357,CP-003297
ENT-061057,CP-058820
ENT-003796,CP-035010
ENT-063574,CP-054951
ENT-030684,CP-012244
ENT-040613,CP-046084
ENT-058148,CP-014743
ENT-034269,CP-058933
ENT-084201,CP-016084
ENT-086221,CP-049335
ENT-062632,CP-023371
ENT-031710,CP-032374
ENT-040709,CP-067019
ENT-075060,CP-053870
ENT-039639,CP-026305
ENT-051392,CP-056822
ENT-030764,CP-051427
ENT-068862,CP-017014
ENT-004353,CP-008851
ENT-045690,CP-049800
ENT-008558,CP-037333
ENT-097389,CP-054157
ENT-046674,CP-046015
ENT-098835,CP-051948
ENT-064734,CP-007434
ENT-098925,CP-046494
ENT-033869,CP-046665
ENT-097981,CP-050161
ENT-010006,CP-031720
ENT-031403,CP-037547
ENT-070958,CP-035212
ENT-031183,CP-065683
ENT-003932,CP-014285
ENT-002921,CP-013836
ENT-044332,CP-015100
ENT-053606,CP-060765
ENT-004985,CP-046584
ENT-098382,CP-024058
ENT-094254,CP-022294
ENT-003480,CP-011437
ENT-077839,CP-029214
ENT-087301,CP-022181
ENT-092500,CP-060777
ENT-043059,CP-043997
ENT-046638,CP-025878
ENT-019333,CP-028774
ENT-036944,CP-036746
ENT-041779,CP-028696
ENT-091896,CP-021579
ENT-029547,CP-024641
ENT-039890,CP-063690
ENT-021441,CP-020476
ENT-033695,CP-007206
ENT-083375,CP-057304
ENT-006579,CP-051954
ENT-018414,CP-005715
ENT-059046,CP-035135
ENT-017233,CP-027667
ENT-021310,CP-031592
ENT-074602,CP-012012
ENT-030989,CP-003105
ENT-081697,CP-063301
ENT-032958,CP-040315
ENT-099627,CP-043608
ENT-013104,CP-027196
ENT-036581,CP-042862
ENT-082567,CP-047646
ENT-036566,CP-037466
ENT-075580,CP-042776
ENT-004943,CP-051734
ENT-005259,CP-038776
ENT-072753,CP-014068
ENT-041963,CP-039437
ENT-048133,CP-024706
ENT-052193,CP-024359
ENT-066856,CP-060035
ENT-084320,CP-019983
ENT-038954,CP-048912
ENT-043884,CP-067353
ENT-089601,CP-025216
ENT-011315,CP-021592
ENT-015114,CP-050295
ENT-060728,CP-023809
ENT-037935,CP-016550
ENT-071523,CP-063611
ENT-087074,CP-065990
ENT-082832,CP-011265
ENT-004728,CP-065222
ENT-040062,CP-016572
ENT-073417,CP-027932
ENT-034535,CP-063844
ENT-037281,CP-008197
ENT-010818,CP-055225
ENT-059422,CP-060177
ENT-063661,CP-052399
ENT-061944,CP-017881
ENT-079730,CP-002709
ENT-087200,CP-012081
ENT-085094,CP-038635
ENT-008464,CP-004852
ENT-072505,CP-013706
ENT-027359,CP-048435
ENT-069411,CP-039475
ENT-077470,CP-053467
ENT-012670,CP-021374
ENT-037843,CP-040364
ENT-060927,CP-037390
ENT-056586,CP-059383
ENT-061312,CP-018412
ENT-092630,CP-046272
ENT-040291,CP-033492
ENT-092806,CP-052986
ENT-039505,CP-060173
ENT-048521,CP-061817
ENT-077519,CP-006904
ENT-068377,CP-050660
ENT-089729,CP-039946
ENT-000540,CP-020381
ENT-049850,CP-017863
ENT-061546,CP-036212
ENT-073187,CP-013507
ENT-094215,CP-004728
ENT-004380,CP-045993
ENT-055066,CP-020931
ENT-053755,CP-027696
ENT-063373,CP-057431
ENT-008125,CP-040847
ENT-038891,CP-013139
ENT-008335,CP-018242
ENT-063738,CP-064378
ENT-055514,CP-012039
ENT-068360,CP-067191
ENT-003936,CP-005316
ENT-092885,CP-034247
ENT-093460,CP-033326
ENT-069233,CP-048878
ENT-087021,CP-037894
ENT-026557,CP-046356
ENT-077384,CP-022693
ENT-010540,CP-020009
ENT-032069,CP-006299
ENT-020491,CP-047779
ENT-097172,CP-047915
ENT-071551,CP-061575
ENT-093695,CP-021199
ENT-041564,CP-042991
ENT-084741,CP-028537
ENT-063457,CP-010678
ENT-008554,CP-037072
ENT-070360,CP-011079
ENT-076781,CP-066058
ENT-066423,CP-029331
ENT-057904,CP-058496
ENT-036711,CP-022329
ENT-051996,CP-041483
ENT-012106,CP-050525
ENT-030286,CP-067116
ENT-008851,CP-027891
ENT-001600,CP-040421
ENT-097064,CP-063330
ENT-083157,CP-062033
ENT-020900,CP-010801
ENT-003832,CP-067023
ENT-054387,CP-040673
ENT-059962,CP-069915
ENT-044713,CP-008550
ENT-045117,CP-015110
ENT-096716,CP-025952
ENT-021869,CP-050658
ENT-009846,CP-047519
ENT-078451,CP-068259
ENT-045406,CP-037981
ENT-085748,CP-032247
ENT-076605,CP-064637
ENT-039172,CP-007178
ENT-054002,CP-000851
ENT-070988,CP-020669
ENT-070209,CP-067713
ENT-084063,CP-049922
ENT-055192,CP-000523
ENT-046830,CP-067971
ENT-094572,CP-058216
ENT-033876,CP-051033
ENT-011079,CP-021214
ENT-080097,CP-063983
ENT-072780,CP-052053
ENT-028506,CP-045487
ENT-075415,CP-021764
ENT-079380,CP-035236
ENT-046605,CP-006644
ENT-033019,CP-022871
ENT-082806,CP-002519
ENT-056439,CP-030372
ENT-031818,CP-021984
ENT-070070,CP-040724
ENT-032165,CP-049854
ENT-054593,CP-005298
ENT-022536,CP-009019
ENT-068246,CP-019837
ENT-075350,CP-008489
ENT-059540,CP-005052
ENT-016655,CP-018897
ENT-003866,CP-066517
ENT-005623,CP-054259
ENT-062110,CP-013424
ENT-050097,CP-064792
ENT-084166,CP-000282
ENT-061207,CP-047579
ENT-031396,CP-047489
ENT-057824,CP-005380
ENT-010788,CP-001499
ENT-030465,CP-033606
ENT-087078,CP-000307
ENT-063836,CP-048673
ENT-087460,CP-037277
ENT-065325,CP-039186
ENT-046148,CP-063835
ENT-042816,CP-041554
ENT-008766,CP-051373
ENT-066394,CP-036205
ENT-063013,CP-002186
ENT-081379,CP-052549
ENT-086718,CP-065249
ENT-013308,CP-028047
ENT-034105,CP-052794
ENT-081222,CP-013255
ENT-071769,CP-033970
ENT-000679,CP-068436
ENT-017652,CP-004731
ENT-064817,CP-068389
ENT-062978,CP-060688
ENT-061189,CP-030567
ENT-030540,CP-069629
ENT-023029,CP-014138
ENT-078292,CP-028098
ENT-085832,CP-014208
ENT-095212,CP-017374
ENT-062076,CP-007821
ENT-086978,CP-032153
ENT-084800,CP-040350
ENT-028360,CP-062085
ENT-038988,CP-054053
ENT-073428,CP-062871
ENT-004101,CP-026634
ENT-095105,CP-026590
ENT-094937,CP-014919
ENT-098360,CP-005867
ENT-076017,CP-023315
ENT-004809,CP-006307
ENT-087367,CP-011423
ENT-005441,CP-044934
ENT-008831,CP-052521
ENT-009899,CP-009124
ENT-040985,CP-044116
ENT-059190,CP-044901
ENT-084736,CP-065611
ENT-034292,CP-026955
ENT-035585,CP-028124
ENT-019944,CP-068034
ENT-085510,CP-011213
ENT-006635,CP-007108
ENT-079550,CP-047488
ENT-037807,CP-047104
ENT-053174,CP-037504
ENT-007421,CP-064838
ENT-077543,CP-019966
ENT-091777,CP-068837
ENT-038426,CP-034498
ENT-019305,CP-020869
ENT-079548,CP-010081
ENT-037706,CP-061086
ENT-043062,CP-062044
ENT-093328,CP-017843
ENT-013471,CP-003336
ENT-051342,CP-012681
ENT-008919,CP-064594
ENT-049976,CP-031532
ENT-044771,CP-039537
ENT-018849,CP-065158
ENT-035005,CP-066840
ENT-007244,CP-034372
ENT-023263,CP-019564
ENT-066044,CP-027490
ENT-095703,CP-063780
ENT-041608,CP-034266
ENT-017486,CP-021415
ENT-032293,CP-043852
ENT-062344,CP-032811
ENT-068798,CP-028545
ENT-015434,CP-001547
ENT-054872,CP-035791
ENT-088642,CP-006988
ENT-075112,CP-059917
ENT-058971,CP-036796
ENT-027487,CP-039168
ENT-010539,CP-033962
ENT-093268,CP-029935
ENT-067180,CP-040334
